Gene,Frequency
CBS,1
ELF3,1
KDM4C,1
RPL7AP59,1
SIGLEC5,1
KIT,1
NEGR1,1
ERBB4,1
ZFP901,1
MROH9,1
PAPPAS,1
PARP11,1
KIAA1853,1
YDJC,1
BACE2,1
ARHGAP4,1
IL7R,1
CDH2,1
DHCR7,1
RNA5SP169,1
CDK20,1
AY927475,1
RP11-35O7.1,1
PLAT,1
NTNG2,1
IGHG1,1
RTKN2,1
CXCR5,1
ARID3A,1
SDHDP4,1
SRCAP,1
RPS2P19,1
ASB1,1
IFNGR1,1
TNFRSF13B,1
OR4A15,1
IFT80,1
C1orf146,1
CDHR3,1
ENTHD1,1
KCTD6,1
CTD-2029E14.1,1
PDCD5,1
IPCEF1,1
IL2,1
LOC100130476,1
HLA-DPB1,1
LAT2,1
GRAP2,1
STAB2,1
LOC101926943,1
PPARD1,1
PPCDC,1
BC038767,1
MDC1,1
MAGI1,1
SMAD4,1
TSEN2,1
LOC100505875,1
LOC285766,1
UBE2J2,1
WIPF1,1
PRRX1,1
APIP,1
CPSF3L,1
c10orf64,1
HIP1,1
SLC22A12,1
ABCB5,1
FAM193A,1
DAB2,1
IFNA17,1
LINC00870,1
MGAT5,1
JARID2,1
ISX,1
FCGR3A,1
ZBPB2,1
ZNFN1A3,1
SCUBE3,1
STAT1,1
LARP1,1
ACOX2,1
C4A,1
TMEM39A,1
P2RY2,1
SCN10A,1
CCR2,1
CAMK2G,1
PRSS54,1
XPO1,1
C17orf37,1
PDCD1,1
TAGAP,1
LRRC18,1
RAPH1,1
BBIP1,1
USP18,1
GRINL1A,1
TPCN2,1
RALGPS2,1
DDO,1
snoU13,1
LAMC1,1
NSUN2,1
TRAPPC11,1
HEATR3,1
R3HCC1,1
NCRNA00284,1
IFNA22P,1
LOC102724596,1
RASSF2,1
C14orf143,1
RASA1,1
POLS,1
SYNGR1,1
FBXL2,1
IL21,1
EPHA3,1
ICA1,1
VDAC1,1
SNRPC,1
PTPRH,1
NBDY,1
OLIG3,1
HCFC1,1
MYO5C,1
GATA3,1
EDDM3DP,1
TAOK3,1
GSDMB,1
EHF,1
KIAA1107,1
PCNXL3,1
SPP1,1
CLASP2,1
BC040734,1
MED1,1
RP5-1186P10.2,1
RPS26P53,1
C12orf28,1
LOC541472,1
DNASE2,1
EOMES,1
ADO,1
LINC00315,1
ARMC3,1
SLC29A3,1
GRB7,1
HER-2,1
ADAMTS9,1
MIR1208,1
BRD7P2,1
IL22RA2,1
RAB23,1
SLC22A11,1
BC009730,1
MIR548AN,1
NAALADL2,1
C9,1
RP11-18H21.1,1
CALM2P1,1
GHR,1
COL25A1,1
AFF1,1
CCNH,1
EIF4E3,1
SORCS2,1
SIRPD,1
ANKRD16,1
HMGXB4,1
HMHB1,1
LRRK1,1
TP63,1
HIC2,1
MAFTRR,1
RP11-309L24.6,1
RFC5,1
SHROOM3,1
SCAMP5,1
ZNF629,1
PPARG,1
MIR4472-2,1
DPF3,1
STN1,1
IRF4,1
NSMCE2,1
CSMD1,1
PRKAB1,1
DDA1,1
SEZ6L2,1
ELP3,1
ACSBG1,1
SLC17A4,1
TMEM39A1,1
PRTN3,1
TMC2,1
KLF12,1
SMYD3,1
STAT3,1
DPCR,1
ARIH2P1,1
MIEN1,1
C4B,1
NCF,1
SKAP2,1
WWTR1,1
LEF1,1
SBK1,1
SIRPB1,1
MLF1IP,1
TRAFD1,1
NR4A3,1
ADAM15,1
SOX9,1
FAM98B,1
ASTN2,1
SOCS6,1
FNIP1,1
COX6CP2,1
PERP,1
LRRC63,1
MIR718,1
RP5-1166F10.1,1
FLJ16124,1
NAA10,1
SP8,1
ZNF184,1
FXYD5,1
CERCAM,1
VANGL2,1
LOC105369945,1
BCL2L11,1
PRIM2,1
CFH,1
TMEM132C,1
RNF114,1
FAM20B,1
IL1R2,1
USMG5,1
CPNE5,1
RANBP20P,1
CYCS,1
C12orf51,1
HAO1,1
RP11-706F1.1,1
DSTYK,1
ITGAX,1
KSR2,1
CD86,1
LZTFL1,1
ETV3,1
LINGO1,1
LOC100506274,1
KIAA0319L,1
C1GALT1,1
SLC12A1,1
IL6R,1
PVT1,1
TCF19,1
CPLX1,1
CTD-2354A18.1,1
GPR78,1
RP1-37J18.1,1
RENBP,1
LOC146513,1
CR2,1
